P=-61.9221,70.0796,-306.559,71.2661,-83.1068,17.8965,;
P=-62.7688,66.0448,-320.373,73.6407,-75.8696,34.4961,;
P=-58.9491,70.4411,-321.79,81.3144,-62.5476,34.4961,;
HALT
P=-58.9491,70.4411,38.2099,81.3144,-62.5476,34.4961,;
P=-55.2539,81.9866,33.0663,73.6407,-58.7348,40.1848,;
P=-53.2722,84.9148,20.2214,83.1446,-40.6588,44.6389,;
P=-53.8127,90.6214,8.22926,86.6884,-25.9294,49.0734,;
P=-58.3868,96.0548,-2.849,86.5056,-14.5137,53.9512,;
P=-66.6543,98.6876,-12.7339,84.245,-6.14114,59.8123,;
P=-77.1697,97.2474,-20.2544,80.9836,-0.44755,67.1535,;
P=-88.2909,91.963,-23.9257,77.2712,2.81424,76.1506,;
P=-98.9627,84.325,-23.152,73.289,3.8016,86.2855,;
P=-108.691,76.3288,-18.7656,69.0599,2.79637,96.3178,;
P=-117.115,69.5328,-12.5349,64.6477,0.35797,104.934,;
P=-124.261,64.2247,-5.80192,60.5659,-2.62937,111.858,;
P=-130.351,60.1281,0.780087,57.4764,-5.38303,117.373,;
P=-135.804,56.7963,7.12097,56.1344,-7.25833,121.973,;
P=-141.22,53.8874,13.5032,57.1942,-7.80326,126.178,;
P=-147.324,51.3721,20.4169,60.95,-6.85,130.498,;
P=-154.85,49.6414,28.3637,67.2238,-4.56037,135.469,;
P=-164.32,49.4857,37.5221,75.4755,-1.40268,141.707,;
P=-175.737,51.9228,47.2402,84.9416,1.81895,149.922,;
P=-187.996,57.3928,55.372,94.2627,3.76886,160.262,;
P=-200.356,64.9386,59.8396,102.117,2.90705,172.326,;
P=-212.603,72.189,59.6181,107.05,-2.20715,184.957,;
P=-223.863,76.733,55.2238,107.563,-12.0705,196.683,;
P=-232.119,78.3085,48.3906,102.538,-25.6813,206.525,;
P=-235.858,79.0964,40.7198,91.4598,-41.4384,214.27,;
P=-235.248,81.9699,33.0618,73.6609,-58.7152,220.177,;
P=-238.943,70.4243,38.2061,81.3303,-62.5322,214.489,;
HALT
P=-58.9429,-70.4243,38.2061,-81.3303,62.5322,34.4887,;
P=-62.7653,-66.0249,39.6256,-73.6609,75.8536,34.4887,;
P=-75.7035,-47.3791,37.6165,-93.7231,73.6353,42.4375,;
P=-88.3374,-29.2568,34.2845,-106.323,75.7771,55.8237,;
P=-91.8751,-12.9646,18.309,-112.48,79.0316,76.1392,;
P=-41.8242,-6.51221,-53.8005,-113.01,79.8409,100.006,;
P=-28.925,-7.99983,-86.2629,-109.474,77.7944,120.146,;
P=-57.0397,-5.90299,-72.326,-103.84,74.8744,134.262,;
P=-129.307,-5.42459,-9.65746,-97.9304,72.1931,144.176,;
P=-173.146,-10.3852,27.3973,-93.2483,69.7502,151.87,;
P=-192.915,-16.4408,41.5817,-90.9372,67.188,158.715,;
P=-206.238,-22.7758,49.3659,-90.4901,64.7122,165.593,;
P=-216.634,-29.4715,53.5638,-90.9616,62.7791,172.995,;
P=-224.971,-36.6267,54.7106,-91.1672,61.9841,181.122,;
P=-231.516,-44.2507,53.1608,-89.865,62.9201,189.86,;
P=-236.359,-52.3693,49.5591,-85.9037,66.0547,198.773,;
P=-239.528,-61.1806,44.8582,-78.2786,71.7003,207.221,;
P=-240.975,-71.1872,40.1131,-65.8894,80.1943,214.605,;
P=-237.852,-74.7918,39.1988,-74.545,66.858,214.605,;
HALT
P=-57.8521,74.7918,39.1988,74.545,-66.858,34.6053,;
P=-54.1725,86.2887,34.4926,65.8894,-64.1244,40.3,;
P=-82.1477,75.7411,41.2831,86.901,-58.1648,34.5652,;
P=-109.01,68.4602,50.3781,100.456,-56.5592,25.8756,;
P=-133.682,64.2086,61.5221,108.256,-57.252,14.039,;
P=-153.762,62.7614,72.5813,111.115,-58.3015,0.243751,;
P=-167.481,62.6383,80.4834,110.124,-58.4012,-13.0159,;
P=-175.311,62.6583,83.6738,106.79,-57.2839,-23.6107,;
P=-178.71,63.2537,82.4867,102.636,-55.1159,-30.8078,;
P=-179.01,65.6491,78.2943,98.902,-51.9081,-34.7156,;
P=-177.258,70.9549,72.7275,96.3549,-47.5315,-35.5227,;
P=-174.401,79.2479,67.3948,94.6274,-42.361,-33.9934,;
P=-170.793,90.2833,63.1947,93.1101,-36.8938,-30.6068,;
P=-166.349,103.621,60.6505,91.2538,-31.6434,-25.7022,;
P=-160.549,118.676,60.2897,88.7067,-27.018,-19.5541,;
P=-45.9593,112.086,136.768,-85.2604,-108.557,-12.4138,;
P=-36.8072,105.889,150.704,-80.7611,-101.389,-4.52369,;
P=-29.0611,98.9203,163.353,-74.9676,-94.093,3.8576,;
P=-25.1304,84.6016,159.423,-90.2613,-94.5556,-0.24619,;
HALT
P=154.87,-84.6016,-20.5774,-90.2613,-94.5556,-0.24619,;
P=153.695,-87.7314,-20.4988,-102.507,-110.143,-0.24619,;
P=152.138,-86.7896,-6.57077,-107.018,-108.532,1.87434,;
P=149.023,-88.4503,7.14986,-109.085,-106.796,3.93212,;
P=145.548,-92.6571,19.742,-110.177,-106.068,6.08297,;
P=142.987,-98.6469,30.4646,-110.271,-105.661,7.10978,;
P=141.448,-105.602,39.5019,-110.187,-105.985,7.36376,;
P=140.859,-113.055,47.2366,-110.321,-107.276,7.11951,;
